months_as_customer,age,policy_number,policy_bind_date,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,postcode.2,region.1,total_crimes_nearby.1,vehicle_crimes_nearby.1,rainfall_mm.1,max_windspeed_kmh.1,max_temp_c.1,postcode,region,claim_date,total_crimes_nearby,vehicle_crimes_nearby,rainfall_mm,max_windspeed_kmh,max_temp_c
370,55,285496,1994-05-27,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,2015-01-11,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,,,,,,,,M24 2GB,North West,2023-01-11,,,16.1,30.2,8.5
413,55,115399,1991-02-08,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,own-child,0,-31000,2015-01-19,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,?,2,2,?,98160,8180,16360,73620,Dodge,RAM,2011,Y,YO61 1AA,Yorkshire and The Humber,1.0,0.0,0.0,22.9,4.7,NG34 8NE,East Midlands,2023-01-19,,,0.0,18.1,4.0
237,40,736882,1996-02-02,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,husband,0,-53500,2015-02-24,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,,,,,,,,NR18 9AN,East of England,2024-02-24,32.0,3.0,0.3,11.8,7.7
8,35,699044,2013-12-05,100/300,2000,1266.92,0,MALE,Masters,sales,polo,own-child,0,0,2015-01-09,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,S1 1AA,Yorkshire and The Humber,,,0.3,28.3,6.5,RM12 4BG,London,2024-01-09,459.0,47.0,0.0,29.6,3.8
257,43,863236,1990-09-20,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,own-child,0,-29200,2015-01-28,Parked Car,?,Minor Damage,Police,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,SW1A 1AA,London,,,0.0,11.2,6.1,WR11 3JT,West Midlands,2023-01-28,,,0.0,9.2,6.9
202,34,608513,2002-07-18,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,2015-01-07,Vehicle Theft,?,Minor Damage,,5,1,YES,2,1,?,5720,1040,520,4160,Suburu,Forrestor,2003,Y,,,,,,,,NE9 7EY,North East,2023-01-07,,,5.0,31.0,10.8
224,40,914088,1990-02-08,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,2015-01-08,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,,,,,,,,WR11 3JT,West Midlands,2023-01-08,,,2.7,30.8,8.2
241,45,596785,2014-03-04,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,2015-02-15,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N,,,,,,,,KY15 7BA,,2024-02-15,0.0,0.0,7.3,12.3,9.6
64,25,908616,2000-02-18,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,husband,53200,0,2015-01-18,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,?,75600,12600,12600,50400,Toyota,Corolla,2005,N,,,,,,,,TW3 1GN,London,2024-01-18,688.0,43.0,0.0,15.8,2.6
166,37,666333,2008-06-19,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,husband,27500,0,2015-02-28,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,?,67140,7460,7460,52220,Ford,F150,2006,Y,,,,,,,,LA14 5DF,North West,2024-02-28,334.0,4.0,17.2,35.1,8.8
155,35,336614,2003-08-01,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,2015-02-24,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,YO61 1AA,Yorkshire and The Humber,,,0.4,29.2,9.1,WR11 3JT,West Midlands,2023-02-24,,,0.8,19.8,10.9
114,30,584859,1992-04-04,100/300,1000,1558.29,0,MALE,High School,farming-fishing,video-games,wife,51400,-64000,2015-01-09,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,?,77110,14020,14020,49070,Suburu,Impreza,2015,N,SW1A 1AA,London,4960.0,187.0,0.0,31.4,4.0,NE9 7EY,North East,2023-01-09,,,0.2,26.1,6.9
149,37,990493,1991-01-13,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,yachting,own-child,0,0,2015-02-12,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N,,,,,,,,G11 5HD,,2024-02-12,5.0,0.0,6.7,31.4,6.1
147,33,129872,2010-08-08,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,2015-01-24,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y,BN1 1AA,South East,1309.0,46.0,0.0,50.1,11.8,IM4 7JQ,,2023-01-24,,,,,
62,28,200152,2003-03-09,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,camping,unmarried,0,0,2015-01-09,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,?,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y,NG1 1AA,East Midlands,,,0.0,26.3,6.6,LU2 7LL,East of England,2024-01-09,850.0,62.0,0.0,28.5,2.6
289,49,933293,1993-02-03,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,2015-01-18,Parked Car,?,Minor Damage,,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,,,,,,,,G61 3LF,,2024-01-18,0.0,0.0,0.0,15.7,0.0
431,54,485664,2002-11-25,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,?,2,0,?,62300,12460,6230,43610,Jeep,Wrangler,2007,N,SW1A 1AA,London,,,0.0,11.2,5.3,DT2 0GA,South West,2024-01-21,1.0,0.0,12.9,51.5,11.0
199,37,982871,1997-07-27,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,?,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y,,,,,,,,BT63 5JA,,2024-01-08,119.0,2.0,0.0,17.2,5.1
79,26,206213,1995-05-08,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,?,40000,8000,4000,28000,BMW,M5,2010,N,NG1 1AA,East Midlands,,,2.7,33.5,12.0,DT2 0GA,South West,2024-01-03,1.0,0.0,4.4,27.0,9.2
116,34,616337,2012-08-30,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,?,1,1,?,97080,16180,16180,64720,BMW,X5,2001,Y,GL54 1AA,South West,9.0,1.0,13.5,31.4,9.3,WS1 4HS,West Midlands,2024-01-01,624.0,52.0,10.7,27.1,8.5
37,23,448961,2006-04-30,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,,,,,,,,BT56 8FW,,2023-01-16,,,3.8,22.7,3.7
106,30,790442,2003-04-13,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,,,,,,,,RM12 4BG,London,2023-02-10,,,0.0,15.7,7.8
269,44,108844,2007-12-05,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,?,56400,11280,11280,33840,Toyota,Highlander,2014,N,,,,,,,,ME9 8WL,South East,2023-02-14,,,0.0,12.7,11.8
265,40,430029,2006-08-21,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,?,55120,6890,0,48230,Accura,MDX,2002,N,,,,,,,,DT2 0GA,South West,2023-02-21,,,0.0,11.7,8.9
163,33,529112,1990-01-08,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,?,77110,0,14020,63090,Honda,Civic,2014,N,SW1A 1AA,London,5183.0,187.0,13.2,27.2,14.8,NR18 9AN,East of England,2024-02-18,32.0,3.0,18.3,28.8,12.8
355,47,939631,1990-03-18,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y,CF10 1AA,,1223.0,92.0,0.0,27.5,4.3,WS1 4HS,West Midlands,2023-01-10,,,9.0,34.4,11.7
175,34,866931,2008-01-07,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,2015-02-26,Vehicle Theft,?,Trivial Damage,Police,5,1,?,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,CF10 1AA,,,,0.1,24.2,7.4,SN11 8UB,South West,2024-02-26,27.0,1.0,0.7,39.9,7.8
192,35,582011,1997-03-10,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,?,76600,15320,7660,53620,Mercedes,C300,2000,N,,,,,,,,DT6 6SG,South West,2024-01-01,0.0,0.0,14.3,42.3,12.6
430,59,691189,2004-01-10,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,?,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,CF10 1AA,,,,16.5,39.0,12.1,TA6 4ET,South West,2024-01-03,154.0,5.0,3.2,23.1,10.4
91,27,537546,1994-08-20,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,2015-01-17,Vehicle Theft,?,Trivial Damage,,4,1,?,1,2,?,7260,1320,660,5280,BMW,M5,2008,N,M1 1AE,North West,,,0.6,12.0,2.2,PO19 6EU,South East,2024-01-17,254.0,3.0,0.0,21.6,2.1
217,39,394975,2002-06-02,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,2015-02-22,Vehicle Theft,?,Minor Damage,,8,1,?,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,,,,,,,,DT6 6SG,South West,2024-02-22,0.0,0.0,10.3,33.3,10.4
223,40,729634,1994-04-28,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,?,70510,12820,12820,44870,Suburu,Forrestor,1999,N,,,,,,,,WR11 3JT,West Midlands,2023-01-27,,,0.0,13.2,5.7
195,39,282195,2014-08-17,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,2015-02-27,Parked Car,?,Minor Damage,Police,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N,,,,,,,,DT6 6SG,South West,2023-02-27,,,0.0,24.6,7.3
22,26,420810,2007-08-11,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,S1 1AA,Yorkshire and The Humber,,,6.1,27.7,11.1,PL13 1ET,South West,2023-01-06,,,10.4,44.3,12.0
439,56,524836,2008-11-20,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,?,2,3,?,56430,0,6270,50160,Honda,CRV,2014,N,,,,,,,,DT6 6SG,South West,2023-02-28,,,0.0,29.1,8.3
94,32,307195,1995-10-18,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,2015-02-22,Parked Car,?,Minor Damage,,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,,,,,,,,SN11 8UB,South West,2023-02-22,,,2.1,17.4,9.1
11,39,623648,1993-05-19,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N,,,,,,,,G11 5HD,,2024-01-07,2.0,0.0,0.0,3.7,0.2
151,36,485372,2005-02-26,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N,,,,,,,,EX8 5DT,South West,2024-01-06,16.0,0.0,0.0,17.6,8.3
154,34,598554,1990-02-14,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,?,69480,15440,0,54040,Nissan,Maxima,2014,Y,S1 1AA,Yorkshire and The Humber,1118.0,66.0,0.3,18.2,5.2,IM4 7JQ,,2023-01-10,,,,,
245,44,303987,1993-09-30,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N,,,,,,,,TA6 4ET,South West,2023-02-11,,,0.0,11.8,10.7
119,32,343161,2014-06-10,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N,,,,,,,,DT2 0GA,South West,2023-01-12,,,12.5,43.3,10.7
215,42,519312,2008-10-28,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,2015-02-06,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y,,,,,,,,WS1 4HS,West Midlands,2023-02-06,,,0.0,11.8,6.0
295,42,132902,2007-04-24,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,2015-01-20,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y,,,,,,,,KT22 9AD,South East,2023-01-20,,,0.0,20.0,5.0
254,39,332867,1993-12-13,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,2015-02-22,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y,OX1 1AA,South East,388.0,4.0,17.4,29.0,9.8,LA14 5DF,North West,2024-02-22,334.0,4.0,10.5,42.3,8.0
107,31,356590,2011-08-17,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,2015-01-30,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,Y,NG1 1AA,East Midlands,1431.0,58.0,0.4,21.3,11.5,TW3 1GN,London,2023-01-30,,,0.0,21.6,8.9
478,64,346002,1990-08-20,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,2015-02-02,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N,NG1 1AA,East Midlands,,,0.4,33.9,11.1,LS14 3HF,Yorkshire and The Humber,2023-02-02,,,0.4,39.6,10.1
128,30,500533,1994-02-11,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,2015-01-10,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N,,,,,,,,DT6 6SG,South West,2023-01-10,,,11.1,45.9,12.5
338,49,348209,1994-02-22,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,2015-02-27,Parked Car,?,Minor Damage,,13,1,NO,0,1,?,4300,860,860,2580,Ford,F150,2004,N,,,,,,,,WR11 3JT,West Midlands,2023-02-27,,,0.0,20.9,7.6
271,42,486676,2011-08-15,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,2015-02-20,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,?,2,3,?,68310,12420,6210,49680,Audi,A3,2003,Y,,,,,,,,ME9 8WL,South East,2024-02-20,27.0,0.0,0.0,32.0,10.9
222,41,260845,1998-11-11,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,2015-02-08,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1995,Y,,,,,,,,LU2 7LL,East of England,2024-02-08,781.0,51.0,18.5,25.3,10.3
199,41,657045,1995-12-04,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,2015-02-11,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,1999,N,,,,,,,,LL30 3PD,,2024-02-11,28.0,0.0,0.3,19.9,8.1
